,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0
1,0.94701403,0.7737138,0.6185281,0.54625314,0.534298,0.5349778,0.5376447,0.5403154,0.54234,0.54404444
2,0.8784178,0.6847689,0.5626776,0.52770317,0.52019715,0.5201027,0.5217384,0.52339673,0.5259243,0.5277844
3,0.83411145,0.680419,0.5631025,0.52791727,0.50421673,0.48734367,0.4892065,0.49144843,0.49377555,0.49593645
4,0.84274393,0.7266312,0.58593035,0.5435287,0.5153448,0.4862641,0.48628336,0.48953226,0.49310252,0.49602
5,0.8397279,0.7272042,0.5857097,0.542679,0.5135119,0.48374346,0.48363784,0.48683146,0.4905022,0.49354643
6,0.83860093,0.72718555,0.58570236,0.5424797,0.51315624,0.4831547,0.48302367,0.4862452,0.48984718,0.49288753
7,0.83844984,0.72719914,0.585707,0.54244345,0.5131144,0.483095,0.48295987,0.4861859,0.48979214,0.4928428
8,0.83842593,0.7272002,0.5857058,0.54243946,0.51311135,0.48308164,0.48294884,0.48617885,0.48977467,0.49282587
9,0.83842283,0.7272017,0.5857055,0.5424395,0.5131092,0.4830789,0.48294666,0.48617586,0.4897727,0.49282268
10,0.8384229,0.7272015,0.58570534,0.54243946,0.51310915,0.4830789,0.48294666,0.48617584,0.48977298,0.49282268
